codigo_guarani,carrera
B5638,Ingeniería en Computación
B6002,Ingeniería en Computación
B6002,Ingeniería en Computación
B6003,Ingeniería en Computación
B6003,Ingeniería en Computación
B6003,Ingeniería en Computación
B6004,Ingeniería en Computación
B6005,Ingeniería en Computación
B6005,Ingeniería en Computación
B6010,Ingeniería en Computación
B6010,Ingeniería en Computación
B6011,Ingeniería en Computación
B6011,Ingeniería en Computación
B6017,Ingeniería en Computación
B6018,Ingeniería en Computación
B6019,Ingeniería en Computación
B6020,Ingeniería en Computación
B6025,Ingeniería en Computación
B6003,Ingeniería en Computación
B6003,Ingeniería en Computación
B6003,Ingeniería en Computación
B6004,Ingeniería en Computación
B6012,Ingeniería en Computación
B6012,Ingeniería en Computación
B6002,Ingeniería en Computación
B6002,Ingeniería en Computación
